0.523598	1.57079	-0.4914	-0.8502	-0.1248
0.698131	1.57079	-0.6357	-0.7488	-0.1209
0.872664	1.57079	-0.7566	-0.6084	-0.1287
1.0472	1.57079	-0.858	-0.4602	-0.1326
1.22173	1.57079	-0.9243	-0.2886	-0.1404
1.39626	1.57079	-0.9633	-0.1131	-0.1365
1.5708	1.57079	-0.9789	0.0663	-0.1287
1.74533	1.57079	-0.9555	0.2535	-0.1326
1.91986	1.57079	-0.897	0.4212	-0.1365
2.09439	1.57079	-0.8151	0.585	-0.1326
2.26893	1.57079	-0.7059	0.7332	-0.1248
2.44346	1.57079	-0.5772	0.8541	-0.117
2.61799	1.57079	-0.4212	0.9477	-0.1131
2.79253	1.57079	-0.2574	1.014	-0.1014
2.96706	1.57079	-0.0858	1.0569	-0.0897
0.523598	1.39626	-0.4719	-0.858	-0.1989
0.698131	1.39626	-0.6123	-0.7449	-0.2379
0.872664	1.39626	-0.7293	-0.6123	-0.2574
1.0472	1.39626	-0.8229	-0.4602	-0.2769
1.22173	1.39626	-0.8931	-0.2847	-0.2925
1.39626	1.39626	-0.9399	-0.1092	-0.3003
1.5708	1.39626	-0.9438	0.0702	-0.3042
1.74533	1.39626	-0.9204	0.2496	-0.2964
1.91986	1.39626	-0.8697	0.4251	-0.2808
2.09439	1.39626	-0.7878	0.585	-0.2691
2.26893	1.39626	-0.6864	0.7332	-0.2457
2.44346	1.39626	-0.5499	0.8541	-0.2262
2.61799	1.39626	-0.4017	0.9477	-0.1989
2.79253	1.39626	-0.2496	1.014	-0.156
2.96706	1.39626	-0.0741	1.0569	-0.1248
0.523598	1.22173	-0.4446	-0.8541	-0.2847
0.698131	1.22173	-0.5694	-0.7449	-0.3432
0.872664	1.22173	-0.6864	-0.6123	-0.3861
1.0472	1.22173	-0.7722	-0.4602	-0.4212
1.22173	1.22173	-0.8346	-0.2847	-0.4485
1.39626	1.22173	-0.8814	-0.1092	-0.4641
1.5708	1.22173	-0.8814	0.0741	-0.4641
1.74533	1.22173	-0.8619	0.2496	-0.4602
1.91986	1.22173	-0.8073	0.4212	-0.4407
2.09439	1.22173	-0.741	0.585	-0.4134
2.26893	1.22173	-0.6318	0.7332	-0.3666
2.44346	1.22173	-0.507	0.8463	-0.3237
2.61799	1.22173	-0.3744	0.9555	-0.2613
2.79253	1.22173	-0.2223	1.014	-0.2106
2.96706	1.22173	-0.0546	1.053	-0.1521
0.523598	1.0472	-0.39	-0.8541	-0.3627
0.698131	1.0472	-0.507	-0.7449	-0.4368
0.872664	1.0472	-0.6162	-0.6084	-0.5031
1.0472	1.0472	-0.702	-0.4524	-0.5499
1.22173	1.0472	-0.7527	-0.2925	-0.585
1.39626	1.0472	-0.7839	-0.1131	-0.6123
1.5708	1.0472	-0.7917	0.0663	-0.6123
1.74533	1.0472	-0.7683	0.2457	-0.6006
1.91986	1.0472	-0.7371	0.4251	-0.5733
2.09439	1.0472	-0.6591	0.5811	-0.5304
2.26893	1.0472	-0.5655	0.7332	-0.4797
2.44346	1.0472	-0.4602	0.8463	-0.4212
2.61799	1.0472	-0.3198	0.9438	-0.3354
2.79253	1.0472	-0.1833	1.014	-0.2574
2.96706	1.0472	-0.0312	1.053	-0.1716
